出表日期,報告年度,公司代號,公司名稱,為改善食品衛生、安全與品質，而針對其從業人員、作業場所、設施衛生管理及其品保制度等方面進行之評估與改進及所影響之百分比,違反有關產品與服務之健康與安全法規及未遵循產品與服務之資訊與標示法規之事件類別與次數,違反有關產品與服務之健康與安全法規及未遵循產品與服務之資訊與標示法規之產品下架次數(次),違反有關產品與服務之健康與安全法規及未遵循產品與服務之資訊與標示法規之下架產品總重量(公噸(t)),經獨立第三方驗證符合國際認證之食品安全管理系統標準之廠房所生產產品之百分比,依法規要求或自願進行產品追溯與追蹤管理之相關產品占所有產品之百分比,依法規要求或自願設置食品安全實驗室之相關支出(仟元),依法規要求或自願設置食品安全實驗室之相關支出占營業收入淨額之百分比,date
1150513,113,2376,技嘉,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2377,微星,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2379,瑞昱,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2385,群光,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2387,精元,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2388,威盛,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2390,云辰,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2392,正崴,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2393,億光,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2395,研華,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2397,友通,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2399,映泰,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2401,凌陽,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2406,國碩,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2409,友達,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2412,中華電,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2413,環科,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2414,精技,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2417,圓剛,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2419,仲琦,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2423,固緯,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2424,隴華,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2426,鼎元,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2428,興勤,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2429,銘旺科,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2431,聯昌,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2432,倚天酷碁-創,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2433,互盛電,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2434,統懋,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2436,偉詮電,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2438,翔耀,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2439,美律,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2440,太空梭,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2450,神腦,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2451,創見,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2453,凌群,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2454,聯發科,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2455,全新,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2462,良得電,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2464,盟立,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2466,冠西電,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2468,華經,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2472,立隆電,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2474,可成,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2476,鉅祥,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2478,大毅,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2480,敦陽科,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2482,連宇,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2485,兆赫,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2486,一詮,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2489,瑞軒,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2491,吉祥全,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2492,華新科,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2495,普安,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2497,怡利電,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2498,宏達電,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2501,國建,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2505,國揚,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2506,太設,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2509,全坤建,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2511,太子,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2514,龍邦,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2524,京城,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2528,皇普,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2530,華建,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2534,宏盛,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2535,達欣工,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2536,宏普,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2537,聯上發,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2543,皇昌,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2546,根基,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2548,華固,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2597,潤弘,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2601,益航,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2603,長榮,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2607,榮運,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2608,嘉里大榮,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2609,陽明,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2610,華航,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2612,中航,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2614,東森,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2616,山隆,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2617,台航,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2618,長榮航,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2630,亞航,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2634,漢翔,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2636,台驊控股,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2637,慧洋-KY,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2642,宅配通,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2646,星宇航空,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2701,萬企,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2702,華園,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2704,國賓,100.00%,無,0,0.000,52.39%,100.00%,208.000,0.01%,2026-05-15
1150513,113,2705,六福,100.00%,一次，食藥署與地方衛生局共同執行「114年度市售蔬果農產品農藥殘留監測計畫」，抽驗辣椒及青蔥，紅辣椒，檢出農藥可尼丁0.31ppm（百萬分之一濃度），高於標準值的0.05ppm，其當下食材皆提供給衛生局抽樣，未出給客人食用。,0,0.000,0.00%,0.00%,N/A,N/A,2026-05-15
1150513,113,2706,第一店,0.00%,NA,0,0.000,0.00%,0.00%,0.000,0.00%,2026-05-15
1150513,113,2707,晶華,93.44%,台北晶華未有因違反食品安全衛生管理相關法規被裁處罰鍰之情事。,0,0.000,23.63%,0.00%,370.000,0.01%,2026-05-15
1150513,113,2712,遠雄來,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2722,夏都,0.00%,113年未有違反有關產品與服務之健康與安全法規及未遵循產品與服務之資訊與標示法規之事件。,0,0.000,0.00%,0.00%,0.000,0.00%,2026-05-15
1150513,113,2723,美食-KY,100.00%,2023年間本公司發生一次違反食品安全衛生管理法之情事，係南台灣某間門市於當地衛生局執行稽查專案抽驗過程中發現，該門市製造銷售之飲品未標示總糖量，違反食品安全衛生管理法第25條第2項規定。毋須進行產品下架（0公噸），裁處新台幣三萬元罰鍰。,0,0.000,56.64%,100.00%,2150.000,0.45%,2026-05-15
1150513,113,2727,王品,100.00%,1件違反食品安全衛生管理法第17條、1件違反食品安全衛生管理法第22條、1件違反食品安全衛生管理法第28條,0,0.000,100.00%,100.00%,6212.369,0.03%,2026-05-15
1150513,113,2739,寒舍,82.46%,無,0,0.000,34.72%,100.00%,4844.000,0.10%,2026-05-15
1150513,113,2748,雲品,53.50%,雲品國際2024年度無違反食品安全衛生管理相關法規之情事。惟2024年 3 月 26 及 27 日舉辦 1 千多人之團體宴會，有 9 名客人在新莊頤品宴會廳用餐後出現腸胃不適而就醫的情形，主管機關下令於 4 月 1 日暫停營業，惟因當天有大量自帶外食之狀況而無法判別起因，經本公司檢視及確認現場作業環境及流程，報請主管機關複查後於 4 月 4 日起恢復營業。,0,0.000,53.50%,97.86%,1710.000,0.07%,2026-05-15
1150513,113,2753,八方雲集,100.00%,未有違反有關產品與服務之健康與安全法規及未遵循產品與服務之資訊與標示法規之事件,0,0.000,100.00%,100.00%,13846.514,0.26%,2026-05-15
1150513,113,2801,彰銀,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2816,旺旺保,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2836,高雄銀,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2838,聯邦銀,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2845,遠東銀,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2849,安泰銀,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2850,新產,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2851,中再保,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2867,三商壽,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2880,華南金,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2881,富邦金,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2882,國泰金,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2883,凱基金,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2884,玉山金,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2885,元大金,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2886,兆豐金,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2887,台新金,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2891,中信金,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2892,第一金,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2897,王道銀行,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2901,欣欣,100.00%,0,0,0.000,100.00%,100.00%,0.000,0.00%,2026-05-15
1150513,113,2903,遠百,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2904,匯僑,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2905,三商,100.00%,2024年未發生違反相關規定情事。,0,0.000,100.00%,100.00%,N/A,15.00%,2026-05-15
1150513,113,2906,高林,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2911,麗嬰房,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2912,統一超,100.00%,2024 年統一超商有2 間直營門市，因販售逾期商品，違反食品安全衛生管理法第15條第1 項 ( 八、逾有效日期)，處以罰鍰件數共3 件,2,7.313,100.00%,100.00%,43655.000,0.02%,2026-05-15
1150513,113,2913,農林,100.00%,0,0,0.000,99.11%,20.49%,3071.783,0.71%,2026-05-15
1150513,113,2915,潤泰全,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2939,永邑-KY,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2945,三商家購,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,3004,豐達科,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,3005,神基,,-,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,3006,晶豪科,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,3010,華立,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,3011,今皓,0.00%,無違反相關法規,0,0.000,0.00%,0.00%,0.000,0.00%,2026-05-15
1150513,113,3013,晟銘電,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,3014,聯陽,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,3015,全漢,0.00%,N/A,0,0.000,0.00%,0.00%,0.000,0.00%,2026-05-15
1150513,113,3016,嘉晶,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,3017,奇鋐,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,3022,威強電,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,3026,禾伸堂,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,3027,盛達,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,3028,增你強,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,3031,佰鴻,,0,0,0.000,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,3033,威健,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,3034,聯詠,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,3035,智原,100.00%,0,0,0.000,100.00%,N/A,N/A,N/A,2026-05-15
1150513,113,3040,遠見,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,3043,科風,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,3045,台灣大,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,3046,建碁,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,3047,訊舟,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,3049,精金,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,3051,力特,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,3054,立萬利,N/A,N/A,0,0.000,100.00%,100.00%,N/A,N/A,2026-05-15
1150513,113,3056,富華新,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,3059,華晶科,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,3060,銘異,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,3090,日電貿,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,3094,聯傑,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,3130,一零四,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,3149,正達,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,3150,鈺寶-創,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,3164,景岳,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,3189,景碩,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,3229,晟鈦,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,3231,緯創,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,3305,昇貿,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,3308,聯德,N/A,0,0,0.000,0.00%,0.00%,N/A,N/A,2026-05-15
1150513,113,3311,閎暉,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,3338,泰碩,0.00%,無相關情事,0,0.000,0.00%,0.00%,0.000,0.00%,2026-05-15
1150513,113,3346,麗清,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,3356,奇偶,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,3380,明泰,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,3406,玉晶光,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,3413,京鼎,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,3416,融程電,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,3432,台端,0.00%,0,0,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,3437,榮創,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,3447,展達,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,3450,聯鈞,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,3501,維熹,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,3504,揚明光,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,3515,華擎,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,3535,晶彩科,0.00%,無,0,0.000,0.00%,0.00%,0.000,0.00%,2026-05-15
1150513,113,3543,州巧,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,3545,敦泰,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,3563,牧德,0.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,3583,辛耘,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,3588,通嘉,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,3592,瑞鼎,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,3596,智易,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,3607,谷崧,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,3645,達邁,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,3652,精聯,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,3661,世芯-KY,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,3665,貿聯-KY,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,3673,TPK-KY,,不適用,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,3679,新至陞,0.00%,不適用,0,0.000,0.00%,0.00%,0.000,0.00%,2026-05-15
1150513,113,3686,達能,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,3694,海華,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,3704,合勤控,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,3712,永崴投控,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,3714,富采,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,4142,國光生,N/A,NA,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,4148,全宇生技-KY,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,4155,訊映,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,4164,承業醫,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,4190,佐登-KY,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,4306,炎洲,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,4414,如興,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,4438,廣越,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,4439,冠星-KY,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,4440,宜新實業,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,4526,東台,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,4540,全球傳動,0.00%,N/A,0,0.000,0.00%,0.00%,0.000,0.00%,2026-05-15
1150513,113,4545,銘鈺,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,4551,智伸科,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,4555,氣立,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,4557,永新-KY,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,4560,強信-KY,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,4562,穎漢,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,4564,元翎,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,4569,六方科-KY,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,4571,鈞興-KY,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,4720,德淵,,非必要揭露項目,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,4722,國精化,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,4736,泰博,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,4739,康普,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,4746,台耀,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,4764,雙鍵,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,4766,南寶,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,4770,上品,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,4771,望隼,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,4807,日成-KY,N/A,無,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,4906,正文,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,4915,致伸,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,4916,事欣科,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,4919,新唐,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,4927,泰鼎-KY,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,4934,太極,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,4942,嘉彰,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,4943,康控-KY,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,4952,凌通,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,4956,光鋐,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,4958,臻鼎-KY,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,4961,天鈺,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,4967,十銓,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,4976,佳凌,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,4977,眾達-KY,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,4989,榮科,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,4994,傳奇,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
